fwdfld[mT],fwdM[Am2],fwdM[arb],revfld[mT],revM[Am2],revM[arb]
-6.2250902641146055,-7.281176332689158e-9,-0.9085593675452875,-6.2250902641146055,-2.936125717186556e-9,-0.36637548697508737
-6.125090264114606,-7.267460853162393e-9,-0.9068479232902608,-6.125090264114606,-2.854863947417216e-9,-0.35623548503394853
-6.025090264114606,-7.25348783401392e-9,-0.905104342739514,-6.025090264114606,-2.7718469629045713e-9,-0.3458764639777357
-5.925090264114607,-7.2392482524326266e-9,-0.9033275000090988,-5.925090264114607,-2.6870385279798737e-9,-0.3352939022491104
-5.825090264114607,-7.224732525653965e-9,-0.9015161993429865,-5.825090264114607,-2.600403324218375e-9,-0.3244833927462272
-5.7250902641146055,-7.20993051095996e-9,-0.8996691751130687,-5.7250902641146055,-2.5119069504393186e-9,-0.313440642822733
-5.625090264114606,-7.1948315056792055e-9,-0.8977850918191569,-5.625090264114606,-2.42151592270595e-9,-0.3021614742877682
-5.525090264114606,-7.179424247186865e-9,-0.895862544088983,-5.525090264114606,-2.3291976743255077e-9,-0.2906418234059655
-5.425090264114607,-7.163707635645504e-9,-0.8939013946826891,-5.425090264114607,-2.234920555849225e-9,-0.2788777408974503
-5.325090264114607,-7.147706826437315e-9,-0.8919047825378716,-5.325090264114607,-2.1386538350723354e-9,-0.2668653919378411
-5.2250902641146055,-7.131410931697127e-9,-0.8898713490455034,-5.2250902641146055,-2.0403676970340634e-9,-0.2546010561582487
-5.125090264114606,-7.114804001446322e-9,-0.8877991039361793,-5.125090264114606,-1.9400271391387e-9,-0.24208036586659043
-5.025090264114606,-7.097868314955248e-9,-0.8856858359827314,-5.025090264114606,-1.8374521437701287e-9,-0.2292808581140279
-4.925090264114607,-7.0805843807432326e-9,-0.8835291130002291,-4.925090264114607,-1.7325530062289927e-9,-0.21619133937341792
-4.825090264114607,-7.062930936578573e-9,-0.8813262818459786,-4.825090264114607,-1.6253119921499934e-9,-0.2028095967161095
-4.7250902641146055,-7.04488494947854e-9,-0.8790744684195234,-4.7250902641146055,-1.5157174806291566e-9,-0.18913418006306565
-4.625090264114606,-7.026421615709375e-9,-0.8767705776626443,-4.625090264114606,-1.4037639642238392e-9,-0.175164402184864
-4.525090264114606,-7.007514360786297e-9,-0.8744112935593592,-4.525090264114606,-1.2894520489527165e-9,-0.1609003387016956
-4.425090264114607,-6.988134839473493e-9,-0.8719930791359229,-4.425090264114607,-1.1727884542957956e-9,-0.14634282808336607
-4.325090264114607,-6.968252935784125e-9,-0.8695121764608277,-4.325090264114607,-1.0537860131944062e-9,-0.13149347164929504
-4.2250902641146055,-6.947836762980325e-9,-0.8669646066448025,-4.2250902641146055,-9.324636720512037e-10,-0.116354633568516
-4.125090264114606,-6.926852663573202e-9,-0.864346169840814,-4.125090264114606,-8.088464907301756e-10,-0.10092944085967746
-4.025090264114606,-6.905265209322835e-9,-0.8616524452440658,-4.025090264114606,-6.829656425566279e-10,-0.08522178339104114
-3.9250902641146066,-6.883037201238276e-9,-0.8588787910919984,-3.9250902641146066,-5.54858414317195e-10,-0.06923631388048317
-3.825090264114607,-6.860129983436212e-9,-0.8560203838281849,-3.825090264114607,-4.245682062598388e-10,-0.052978447895493955
-3.7250902641146055,-6.8365052632776084e-9,-0.8530724452225272,-3.7250902641146055,-2.921445320938432e-10,-0.036454363853177636
-3.6250902641146077,-6.8121209890989496e-9,-0.8500297279865293,-3.6250902641146077,-1.5764301898982837e-10,-0.019671003020253704
-3.5250902641146062,-6.786932741815322e-9,-0.8468866894202411,-3.5250902641146062,-2.112540757972144e-11,-0.002636069513053439
-3.425090264114605,-6.760894257508654e-9,-0.8436375566218369,-3.425090264114605,1.1744743010014306e-10,0.014655319131956095
-3.325090264114607,-6.7339574274277215e-9,-0.8402763264876166,-3.325090264114607,2.581231864800302e-10,0.03220911406913492
-3.2250902641146055,-6.706072297988143e-9,-0.8367967657120043,-3.2250902641146055,4.0081479210586145e-10,0.050014450602379606
-3.1250902641146077,-6.677187070772385e-9,-0.8331924107875496,-3.1250902641146077,5.454237350809146e-10,0.06805903622530217
-3.0250902641146062,-6.6472481025297545e-9,-0.8294565680049265,-3.0250902641146062,6.918402238058152e-10,0.08632917092824324
-2.925090264114605,-6.616199905176405e-9,-0.8255823134529341,-2.925090264114605,8.399431869785132e-10,0.10480974719826915
-2.825090264114607,-6.583985145795336e-9,-0.8215624930184965,-2.825090264114607,9.896002735942902e-10,0.1234842500191728
-2.7250902641146055,-6.5505446466363915e-9,-0.8173897223866626,-2.7250902641146055,1.140667852945777e-9,0.14233475687147595
-2.6250902641146077,-6.5158173851162604e-9,-0.8130563870406063,-2.6250902641146077,1.292991014622919e-9,0.16134193773242475
-2.5250902641146062,-6.479740493818473e-9,-0.8085546422616261,-2.5250902641146062,1.4464035685130166e-9,0.1804850550759949
-2.425090264114605,-6.442249260493408e-9,-0.8038764131291456,-2.425090264114605,1.6007280448006859e-9,0.19974196387288676
-2.325090264114607,-6.403277128058289e-9,-0.7990133945207135,-2.325090264114607,1.755775693967878e-9,0.2190891115905276
-2.2250902641146055,-6.362755694597182e-9,-0.793957051112003,-2.2250902641146055,1.9113464867938962e-9,0.238501538193074
-2.1250902641146077,-6.320583232115943e-9,-0.7886946890857244,-2.1250902641146077,2.0672291143553513e-9,0.25795287614140594
-2.0250902641146062,-6.276653110275292e-9,-0.7832130029004115,-2.0250902641146062,2.223200988026216e-9,0.277415350393134
-1.9250902641146048,-6.230893449303411e-9,-0.777503023258105,-1.9250902641146048,2.3790282394777734e-9,0.29685977840259253
-1.825090264114607,-6.18323201660448e-9,-0.7715557368347792,-1.825090264114607,2.5343293828352133e-9,0.3162385576191347
-1.7250902641146055,-6.13359619980545e-9,-0.7653620829170661,-1.7250902641146055,2.6878752982153845e-9,0.33539831606924314
-1.6250902641146077,-6.0819130067560744e-9,-0.7589129534022588,-1.6250902641146077,2.8392319093860475e-9,0.3542848888750176
-1.5250902641146062,-6.028109065528882e-9,-0.7521991927983088,-1.5250902641146062,2.988174921795668e-9,0.3728702881253604
-1.4250902641146048,-5.972110624419193e-9,-0.7452115982238274,-1.4250902641146048,3.13449731617095e-9,0.39112868155204705
-1.325090264114607,-5.913843551945117e-9,-0.7379409194080858,-1.325090264114607,3.2780093485168595e-9,0.4090363925297294
-1.2250902641146055,-5.85323333684754e-9,-0.7303778586910135,-1.2250902641146055,3.418538550116639e-9,0.42657190007593715
-1.1250902641146077,-5.790205088090144e-9,-0.7225130710232003,-1.1250902641146077,3.5559297275317733e-9,0.44371583885107374
-1.0250902641146062,-5.724683534859388e-9,-0.7143371639658946,-1.0250902641146062,3.6900449626020252e-9,0.46045099915842097
-0.9250902641146048,-5.656593026564529e-9,-0.7058406976910055,-0.9250902641146048,3.820763612445401e-9,0.47676232694413434
-0.825090264114607,-5.585857532837604e-9,-0.6970141849811008,-0.825090264114607,3.947982309458172e-9,0.4926369237972461
-0.7250902641146055,-5.512400643533431e-9,-0.6878480912294068,-0.7250902641146055,4.071614961314879e-9,0.5080640469496654
-0.6250902641146041,-5.436145568729622e-9,-0.6783328344398107,-0.6250902641146041,4.191592750968317e-9,0.5230351092761768
-0.5250902641146062,-5.356966892084145e-9,-0.6684527649168249,-0.5250902641146062,4.307864136649534e-9,0.5375436792944399
-0.4250902641146048,-5.2742410774371025e-9,-0.6581300766036817,-0.4250902641146048,4.4203948518678526e-9,0.551585481164992
-0.32509026411460695,-5.18774957901155e-9,-0.6473374989325761,-0.32509026411460695,4.529167905410843e-9,0.565158394691245
-0.22509026411460553,-5.09744415749634e-9,-0.636069012508286,-0.22509026411460553,4.634183581344349e-9,0.578262455319488
-0.1250902641146041,-5.003292482688923e-9,-0.6243205831051536,-0.1250902641146041,4.735701495626049e-9,0.5909300584346886
-0.025090264114606242,-4.9052781334953406e-9,-0.6120901616670844,-0.025090264114606242,4.834206634492987e-9,0.6032217215643262
0.07490973588539518,-4.803400597930213e-9,-0.599377684307545,0.07490973588539518,4.929741441347647e-9,0.6151427408788487
0.17490973588539305,-4.697675273116763e-9,-0.5861850723095671,0.17490973588539305,5.022339597953015e-9,0.6266973192542581
0.27490973588539447,-4.588133465286786e-9,-0.5725162321257429,0.27490973588539447,5.112036685230021e-9,0.6378898965471845
0.3749097358853959,-4.474822389780684e-9,-0.5583770553782298,0.3749097358853959,5.198870183257498e-9,0.6487251495948816
0.47490973588539376,-4.357805171047439e-9,-0.5437754188587473,0.47490973588539376,5.2828794712722155e-9,0.6592079922152294
0.5749097358853952,-4.237160842644615e-9,-0.5287211845285766,0.5749097358853952,5.3641058276688704e-9,0.6693435752067344
0.674909735885393,-4.112984347238383e-9,-0.5132261995185641,0.674909735885393,5.442592430000068e-9,0.6791372863485265
0.7749097358853945,-3.985386536603483e-9,-0.49730429612911664,0.7749097358853945,5.518384354976354e-9,0.6885947504003637
0.8749097358853959,-3.854494171623258e-9,-0.48097129183020576,0.8749097358853959,5.59152857846619e-9,0.6977218291026277
0.9749097358853938,-3.720449922289641e-9,-0.464244989261366,0.9749097358853938,5.662073975495957e-9,0.7065246211763261
1.0749097358853952,-3.583412367703138e-9,-0.4471451762316928,1.0749097358853952,5.730071320249971e-9,0.7150094623230928
1.174909735885393,-3.4437636860769762e-9,-0.42971954168316945,1.174909735885393,5.795573286070463e-9,0.7231829252251868
1.2749097358853945,-3.3022744210178737e-9,-0.4120642355481692,1.2749097358853945,5.858634445457593e-9,0.7310518195454927
1.374909735885396,-3.1591640154840904e-9,-0.3942066403465293,1.374909735885396,5.919311270069441e-9,0.7386231919275206
1.4749097358853938,-3.014614426839866e-9,-0.3761694610726381,1.4749097358853938,5.977663679083734e-9,0.7459045192029979
1.5749097358853952,-2.8688054890772566e-9,-0.35797513776236617,1.5749097358853952,6.0338121471921835e-9,0.7529108344386582
1.674909735885393,-2.7219149128161702e-9,-0.33964584549307086,1.674909735885393,6.087848449428551e-9,0.7596535895020049
1.7749097358853945,-2.5741182853043254e-9,-0.321203494383591,1.7749097358853945,6.139833178876226e-9,0.7661403453160273
1.874909735885396,-2.4255890704172877e-9,-0.3026697295942517,1.874909735885396,6.189826801231319e-9,0.7723786469080813
1.9749097358853938,-2.2764986086584545e-9,-0.28406593132686214,1.9749097358853938,6.237889654802651e-9,0.7783760234098893
2.074909735885395,-2.12701611715904e-9,-0.26541321482471397,2.074909735885395,6.2840819505117716e-9,0.7841399880575417
2.174909735885393,-1.977308689678108e-9,-0.2467324303725852,2.174909735885393,6.328463771892935e-9,0.7896780381914938
