"field.fitted","psf.m3","psf.norm","mh.norm","direction","fwhm","fifthThird"
-19.022,-1.10574159327847e-11,-0.00708813951300895,-0.998623501489175,"forward",7.6433,0.410590856096298
-19.0085,-1.1059636786172e-11,-0.00708956314749484,-0.998668307785967,"forward",7.6433,0.410590856096298
-18.995,-1.1061873552248e-11,-0.00709099698249765,-0.998713123144649,"forward",7.6433,0.410590856096298
-18.9815,-1.10641262042739e-11,-0.00709244100087684,-0.998757947629579,"forward",7.6433,0.410590856096298
-18.9678,-1.10663947130705e-11,-0.0070938951839278,-0.998802781304999,"forward",7.6433,0.410590856096298
-18.9541,-1.10686790527664e-11,-0.00709535951506616,-0.998847624235045,"forward",7.6433,0.410590856096298
-18.9403,-1.10709791991015e-11,-0.00709683397874036,-0.998892476483755,"forward",7.6433,0.410590856096298
-18.9265,-1.10732951237642e-11,-0.00709831855680184,-0.998937338115053,"forward",7.6433,0.410590856096298
-18.9126,-1.10756268040901e-11,-0.00709981323472209,-0.998982209192769,"forward",7.6433,0.410590856096298
-18.8987,-1.10779742181506e-11,-0.00710131799844422,-0.999027089780646,"forward",7.6433,0.410590856096298
-18.8847,-1.10803373399888e-11,-0.00710283283132896,-0.999071979942323,"forward",7.6433,0.410590856096298
-18.8706,-1.10827161491722e-11,-0.00710435772027851,-0.999116879741353,"forward",7.6433,0.410590856096298
-18.8564,-1.10851106259573e-11,-0.00710589265263672,-0.999161789241212,"forward",7.6433,0.410590856096298
-18.8429,-1.10897590471253e-11,-0.00710887243181426,-0.999206717573383,"forward",7.6433,0.410590856096298
-18.8422,-1.08052371932578e-11,-0.00692648528033403,-0.999250493212127,"forward",7.6433,0.410590856096298
-18.828,-1.0467834325036e-11,-0.00671019979224324,-0.999292901918724,"forward",7.6433,0.410590856096298
-18.8136,-1.01334148239287e-11,-0.00649582673310095,-0.999333955779796,"forward",7.6433,0.410590856096298
-18.7992,-9.80193659190392e-12,-0.00628333911678993,-0.999373666711409,"forward",7.6433,0.410590856096298
-18.7848,-9.47335830160022e-12,-0.00607271045121598,-0.999412046462199,"forward",7.6433,0.410590856096298
-18.7703,-9.14763937394936e-12,-0.00586391472396367,-0.999449106616403,"forward",7.6433,0.410590856096298
-18.7557,-8.82473996337719e-12,-0.00565692639280958,-0.99948485859683,"forward",7.6433,0.410590856096298
-18.741,-8.50462094242112e-12,-0.00545172037586154,-0.999519313667772,"forward",7.6433,0.410590856096298
-18.7263,-8.18724388484247e-12,-0.00524827204073328,-0.99955248293784,"forward",7.6433,0.410590856096298
-18.7115,-7.87257104615307e-12,-0.00504655719206128,-0.999584377362732,"forward",7.6433,0.410590856096298
-18.6967,-7.56056535565921e-12,-0.00484655206640475,-0.99961500774796,"forward",7.6433,0.410590856096298
-18.6818,-7.25119039549833e-12,-0.00464823331880749,-0.999644384751495,"forward",7.6433,0.410590856096298
-18.6669,-6.94441038850139e-12,-0.0044515780150173,-0.999672518886361,"forward",7.6433,0.410590856096298
-18.6518,-6.64019018543909e-12,-0.00425656362331047,-0.999699420523183,"forward",7.6433,0.410590856096298
-18.6368,-6.33849524808866e-12,-0.00406316800363698,-0.999725099892659,"forward",7.6433,0.410590856096298
-18.6216,-6.03929163948696e-12,-0.00387136940137255,-0.999749567087997,"forward",7.6433,0.410590856096298
-18.6064,-5.74254600790181e-12,-0.00368114643704369,-0.999772832067286,"forward",7.6433,0.410590856096298
-18.5912,-5.44822557555354e-12,-0.00349247809909791,-0.999794904655821,"forward",7.6433,0.410590856096298
-18.5758,-5.15629812694674e-12,-0.00330534373642403,-0.999815794548382,"forward",7.6433,0.410590856096298
-18.5604,-4.86673199634313e-12,-0.00311972305032186,-0.99983551131146,"forward",7.6433,0.410590856096298
-18.545,-4.57949605392146e-12,-0.00293559608563033,-0.999854064385428,"forward",7.6433,0.410590856096298
-18.5295,-4.29455969822471e-12,-0.00275294322588588,-0.999871463086683,"forward",7.6433,0.410590856096298
-18.5139,-4.01189284293805e-12,-0.00257174518484676,-0.999887716609732,"forward",7.6433,0.410590856096298
-18.4982,-3.73146590465317e-12,-0.00239198299864956,-0.99990283402923,"forward",7.6433,0.410590856096298
-18.4825,-3.45324979545076e-12,-0.00221363802105436,-0.999916824301987,"forward",7.6433,0.410590856096298
-18.4668,-3.17721591065946e-12,-0.0020366919155979,-0.999929696268926,"forward",7.6433,0.410590856096298
-18.451,-2.90333611872711e-12,-0.00186112664910064,-0.999941458656999,"forward",7.6433,0.410590856096298
-18.4351,-2.63158275192762e-12,-0.00168692448570969,-0.999952120081067,"forward",7.6433,0.410590856096298
-18.4191,-2.36192859723835e-12,-0.00151406798105086,-0.999961689045742,"forward",7.6433,0.410590856096298
